	"10_6_5_11" "9_6_5_11" "purep53" "JMS8-2" "JMS8-3" "JMS8-4" "JMS8-5" "JMS9-P7c" "JMS9-P8c"
"Cdk5r2" 0 0 16 7 2 2 14 0 0
"Fev" 0 0 0 0 0 0 0 0 0
"Cryba2" 1 0 0 0 0 0 0 0 0
"Mir375" 0 0 0 0 0 0 0 0 0
"Cfap65" 2 1 0 1 1 1 1 0 2
"Ihh" 11 10 7 12 20 4 12 2 3
"Nhej1" 77 78 198 159 200 170 164 57 52
"Slc23a3" 43 58 68 129 144 104 111 32 23
"Cnppd1" 1802 1871 1415 1535 3611 2798 1090 1057 972
"Retreg2" 2959 3917 2717 2413 7192 4091 1723 2259 1548
"Zfand2b" 658 977 698 571 1737 1074 466 504 399
"Abcb6" 417 694 1001 975 1182 684 537 325 216
"Atg9a" 2207 1783 2246 2451 4219 3587 2061 874 842
"Ankzf1" 718 725 501 448 1204 925 453 513 444
"Glb1l" 174 368 589 588 642 340 660 236 132
"Stk16" 869 1538 2227 1846 3357 1768 1946 1106 619
"Tuba4a" 7894 11155 15675 15669 29808 27728 14672 5661 4874
"A630095N17Rik" 7 6 9 6 16 12 7 1 8
"Dnajb2" 2966 3496 3411 2518 6919 5731 3572 1980 1466
"Ptprn" 84 73 114 74 171 249 128 35 103
"Resp18" 0 0 0 0 2 0 0 0 0
"Dnpep" 1198 4312 1870 1801 6762 2445 1422 2118 926
"Des" 4 51 233 320 133 22 231 82 16
"Gm15179" 0 0 0 0 1 0 7 0 0
"Speg" 53 520 2947 3020 803 214 2789 374 114
